lfnr;Form ID
1378;2834
1379;2834
1380;2834
1381;2834
1382;2834
1383;2834
1384;2834
1385;2834
1386;2834
1387;2834
1388;2834
1389;2834
1390;2834
1391;2834
1392;2834
1393;2834
1394;2834
1395;2834
1396;2834
1397;2834
1398;2834
1399;2154
1400;2154
1401;2154
1402;2154
1403;2154
1404;2154
1405;2154
1406;2154
1407;2154
1408;2154
1409;2154
1410;2154
1411;2154
1412;2154
1413;2154
1414;2153
1415;2153
1416;2154
1417;2154
1418;2154
1419;2154
1420;2153
1421;2153
1422;2154
1423;7681
1424;7681
1425;7681
1426;7681
1427;7681
1428;7681
1429;7681
1430;7681
1431;7681
1432;7681
1433;7681
1434;7681
1435;7681
1436;7681
1437;7681
1438;7681
1439;7681
1440;7681
1441;7681
1442;7681
1443;7681
1444;7681
1445;7681
1446;7681
1447;7681
1448;7681
1449;7681
1450;7681
1451;7681
1452;7681
1453;7681
1454;7681
1455;7681
1456;7681
1457;7681
1458;7681
1459;7681
1460;7681
1461;7681
1462;7681
1463;7681
1464;7681
1465;7681
1466;7681
1467;7681
1468;7681
1469;7681
1470;7681
1471;7681
1472;7681
1473;7681
1474;7681
1475;7681
1476;7681
1477;2836
1478;2836
1479;2836
1480;2187
1481;7681
1482;2135
1483;2135
1484;2135
1485;2135
1486;7681
1487;7681
1488;7681
1489;7681
1490;7681
1491;7681
1492;7681
1493;7681
1494;7681
1495;7681
1496;7681
1497;7681
1498;7681
1499;7681
1500;7681
1501;7681
1502;7681
1503;7681
1504;7681
1505;7681
1506;7681
1507;7681
1508;7681
1509;7681
1510;7681
1511;7681
1512;7681
1513;7681
1514;7681
1515;7681
1516;7681
1517;2175
1518;7681
1519;7681
1520;2175
1521;7681
1522;2835
1523;2835
1524;2390
1525;2149
1526;2149
1527;2149
1528;2149
1529;2149
1530;2149
1531;2149
1532;2149
1533;2149
1534;2149
1535;2149
1536;2149
1537;2149
1538;2149
1539;2149
1540;2149
1541;2149
1542;2149
1543;2149
1544;2149
1545;2149
1546;2149
1547;2149
1548;2149
1549;2149
1550;2149
1551;2149
1552;2149
1553;2149
1554;2149
1555;2149
1556;2149
1557;2149
1558;2149
1559;2149
